"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"110-2E.Normal",1.83020804341047,10.0827730335645,4.6516365740501,-0.0533702690924345,6.33572329735194,-4.70462337175738,1.19185956059549,-1.95405190262351,3.37443179188653,-0.850053777182215,-1.70156209465176,3.95906207152291,-2.16528703857304,-0.334502660255001,-0.117709808029988,-2.1591285570009,0.986938915807612,-0.757143449299019,0.712609945316437,-0.296472350496402,1.89521208847625,0.820492082515543,0.656014082052685,-0.0285981624480463,0.200281226330339,-1.96039542655243,-0.341922823134154,-0.0366821361610994,4.52324961695867,-0.306137944228575,-0.248334407305637,0.541882653761637,1.74878467768795,2.32668662346811,-1.88638025156119,-2.55781586399822,-2.49072130551346,0.887409644280746,-0.207464635452436,1.73537941829116e-14
"173-2E.Normal",-7.93374137409155,1.11071597872799,-3.05853832517579,0.802996517449288,-3.83166469999148,2.29811887387635,-3.99121088298455,-2.91231072702213,2.49083404073489,-0.5768643365649,-0.510415167502872,2.78883262423045,-2.36251644286087,0.910209844155534,-0.714662021341122,-0.710161153354791,0.904435053369613,-0.257104769631038,2.34931288009274,-1.21219423920274,-0.847022133462234,1.25516718353403,2.97389375922775,-0.940223971199674,-0.538720762632853,-1.45540106274258,-0.496192759398012,-0.426806125835653,-0.995663939779393,1.7831630584127,2.32644453226665,3.61809166450812,-1.61676439038833,-0.582574793321876,2.65595797192932,-2.91315704159118,1.92367169326951,1.66765137750783,1.24438933293083,1.7280014225074e-14
"187-2E.Normal",-19.180301109117,-4.4455396856699,-2.36542742910346,-1.62154695802354,-3.21284344692066,3.88861231677265,4.70030379439479,-0.76435383665316,-1.26743193874909,1.54723779141124,-2.79177551071344,2.40459408551646,1.41740089762482,1.9954384920828,-0.286033771499304,2.57531328662895,-0.746241782106849,4.09537375582225,-0.516636895469503,-2.37303919470396,3.46081009476993,-1.44191048781269,2.27669280720667,0.0609103449141711,0.979053095190564,2.77593720392586,-1.15013855509413,-2.44900940100799,1.0475243753947,-2.02323903967724,3.04310682867044,-0.650563263364689,-1.45940700198829,1.43924748888388,-2.21647241709495,0.646321157572702,0.154072086252857,0.926884635583279,-0.259539211944977,1.29861399411624e-14
"130-2E.Normal",-2.32522626355667,9.59507614184698,-2.45347752106274,2.07134114957948,-3.80468370681987,0.514582509807329,-1.66721491812835,-1.94153308508981,-2.30058808152818,-0.46919288043781,2.61329901588814,1.67484181142761,-1.69060992064416,-0.227372497799013,-1.13806955150249,-3.21915268079759,-1.30089054553028,-2.71943923882094,2.30350416092312,3.16606159075393,1.17459615053222,-4.01299137699228,-0.12681187806495,0.35098823772829,5.14134346837866,-1.02270490920435,3.19770568820815,-0.237499917181213,0.561625471665437,1.16581957105616,-0.162816300598529,-2.37230778328917,-1.9034932142871,1.29726628038754,0.420592948550251,1.08544528372653,0.838654596809569,0.959842196308301,-1.39622656260394,1.71508857463309e-14
"136-3E.Normal",-13.2864868758699,2.97248002705479,2.97216956730241,-1.57674508103593,-1.23687098549051,1.65545685472512,-2.28194605197498,-1.92121499232635,-0.614494866827037,-4.51574504691491,-3.47770725988487,4.78341498815391,2.60654434631694,4.56823894319132,1.96014459891093,-0.986876064333034,-5.14088115283133,-2.45638648848891,1.03514599934173,-2.16645769449612,-0.359033194447242,0.673060147188752,-2.57893694953821,4.86536212340147,-1.69614431431673,0.460099997935547,-0.46707482396308,-0.559905191816873,0.48564987610161,0.608996986470237,-0.780071662626753,-1.51183782600162,1.07362156132845,-2.27578433686202,0.749648842195772,-0.0230258506538665,0.223417045963635,-0.758127373163189,-0.290133651820318,1.32671651442706e-14
"151-2E.Normal",-3.33237295711406,0.969827515601919,0.244016199273635,-2.28041419396882,-2.72412443513807,3.24782765295415,-0.237327249728125,-5.06445596282001,-4.73612424100004,1.13261714492783,2.01027895268549,2.4133169247305,1.87798869235337,-6.77776967786354,0.147554980519972,-1.76681076080314,-0.247463743308355,3.94755677949536,-0.757216696635727,1.1149296621107,0.308161458273646,-1.76856893462567,-1.56625978740862,-0.678075959635038,0.155325062182,-2.37725359938187,-1.05637670444247,1.45948520999216,0.389781561871756,-2.69020093982942,1.94932650688862,-0.389032296242453,3.28888449534617,-1.13066996899853,1.9840944782938,-0.553276559987929,-0.434036641109562,-1.07879637227792,0.717256741432763,1.63291689198042e-14
"154-2E.Normal",-1.62885723343535,11.4164374060018,-1.81849527120417,0.638740266289538,0.75813926499141,2.08055294896022,2.86241773263118,-0.0406995235179771,1.39083465687434,3.99866243852457,0.774002373204246,-4.46167571628524,0.890847397393724,1.63306828915467,2.58221387084913,-3.2680493254616,0.360053720725339,-0.329411057746584,1.66976863559285,1.50522962581067,1.2183903038201,0.21832424762842,2.99332252016897,3.115538405536,0.459161363658787,-1.29336010071588,-1.08734159097575,1.13735238407551,-4.21582486197659,-1.3757842020994,-0.433109352177684,-0.297393704394605,1.54638748763198,-1.30892143095557,-3.24524426387943,-1.76632176133081,1.24028594499239,-0.246635437079457,-0.0505944752439852,1.67166898813048e-14
"178-2E.Normal",-10.7373512657149,-1.36031645931383,0.919921749731761,-0.0834789928181832,-2.36198216734888,0.187934219259012,-2.88294234175946,-3.6336784047893,0.359755340236488,2.91696354778851,-1.44505635991631,3.11334193915207,-1.7016625669913,-2.71489660400031,1.14084697470947,0.341608319973972,-1.67115598871255,0.683848964818568,-0.0297802074974294,3.13466032696288,-0.0633477955717536,-0.747382811287724,2.42662043498849,-0.592751697884854,-4.52311043065617,4.22365890762217,2.11440605528644,3.66474484179776,-0.978949382366642,2.33145418310608,-2.30762557666483,0.853022837866196,0.929019639828215,1.58192443942017,-1.11364168779476,1.26037701242955,-0.428133698624148,0.180376707897334,0.0639053708626217,1.45343806434717e-14
"183-3E.Normal",-7.49528906984233,11.0706421386602,5.54902481810826,0.0110788129403993,-1.81659893091759,0.244639762277835,-4.99174873716846,-2.50431040818838,3.12059829151923,1.86591861227679,0.0928880262881354,-1.4605691481419,1.38705089471368,0.917649357094798,-3.48387955035143,0.615568134287261,3.8105391747497,-0.878954146438873,-1.28160494322006,-0.772747309133675,-1.28930620068547,-0.342097553006119,-0.684036856356558,0.0823062226467108,-0.792381934539805,0.174496691119118,-0.342842105259794,0.0641278013939301,2.30231065489716,-3.90267032693584,-1.46853429099086,2.82133527532923,-0.297217035373094,-0.60037319149539,-0.203018491575081,2.01349072988652,2.32236088535102,-0.730266618572437,-2.38957845725585,1.61771637752217e-14
"240-3E.Normal",-16.5068740972746,1.79650706342025,-3.03584803751842,2.27834960857659,-0.839337593041856,1.58882730038324,6.64468116370355,1.81353555065326,-1.40702763840336,2.17666096313171,-2.00599316401564,-1.57158292255739,-5.53621309474631,5.3734291733033,-1.68442596119068,2.88953324863085,-1.87453198031287,-1.54811489554948,-1.85122250230129,5.20414644613203,-0.601840110616373,-0.532361430224005,-2.09054384133887,-1.19645267291089,-1.20127267247538,-2.59182264606806,-3.10209849363067,1.07559380327233,0.22296159552631,-0.2355839603266,-0.181792061554807,0.550355602927075,0.338004998196399,0.617811662519006,1.62551970454013,0.187456066881391,-0.807221141475729,-0.332610856563331,-0.25902237565866,1.17232612506513e-14
